Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free
2023-2025,BAYPORT BLUE PT U F SCH,ACADEMY ST ELEM SCHOOL,Suffolk,Public School,580505020005,https://www.bbpschools.org/,12.0,0.0,0.0,12.0,Yes,10,2,Yes,Yes,Ongoing,150 ACADEMY ST,BAYPORT,NY,11705,07/16/2025,,,ACADEMY ST  SCHOOL,,25.0,308.0,0.0811688311688311
2023-2025,BAYPORT BLUE PT U F SCH,BAYPORT-BLUE POINT H S,Suffolk,Public School,580505020004,https://www.bbpschools.org/,53.0,0.0,0.0,53.0,Yes,45,8,Yes,Yes,Ongoing,200 SNEDECOR AVE,BAYPORT,NY,11705,07/28/2025,,,BAYPORT-BLUE POINT S,,118.0,636.0,0.1855345911949685
2023-2025,BAYPORT BLUE PT U F SCH,BLUE POINT ELEM SCHOOL,Suffolk,Public School,580505020002,https://www.bbpschools.org/,18.0,0.0,0.0,18.0,Yes,14,4,Yes,Yes,Ongoing,212 BLUE POINT AVE,BLUE POINT,NY,11715,07/16/2025,,,BLUE POINT  SCHOOL,,118.0,636.0,0.1855345911949685
2023-2025,BAYPORT BLUE PT U F SCH,JAMES WILSON YOUNG MS,Suffolk,Public School,580505020006,https://www.bbpschools.org/,29.0,0.0,0.0,30.0,Yes,24,5,Yes,Yes,Ongoing,602 SYLVAN AVE,BAYPORT,NY,11705,07/28/2025,,,JAMES WILSON YOUNG,,66.0,383.0,0.1723237597911227
2023-2025,BAYPORT BLUE PT U F SCH,SYLVAN AVENUE ELEM SCHOOL,Suffolk,Public School,580505020003,https://www.bbpschools.org/,26.0,0.0,0.0,26.0,Yes,19,7,Yes,Yes,Ongoing,600 SYLVAN AVE,BAYPORT,NY,11705,07/16/2025,,,SYLVAN AVENUE  SCHOOL,,54.0,299.0,0.1806020066889632
2023-2025,BEAVER RIVER CENTRAL SCHOOL,BEAVER RIVER ELEMENTARY SCHOOL,Lewis,Public School,231301040001,https://www.brcsd.org/,70.0,0.0,70.0,0.0,Yes,65,5,Yes,Yes,Ongoing,9508 ARTZ RD,BEAVER FALLS,NY,13305,12/13/2024,,,BEAVER RIVER ELEMENTARY SCHOOL,,188.0,416.0,0.4519230769230769
2023-2025,BEAVER RIVER CENTRAL SCHOOL,BEAVER RIVER MIDDLE SCHOOL,Lewis,Public School,231301040004,https://www.brcsd.org/,10.0,0.0,10.0,10.0,Yes,10,0,Yes,Yes,Complete,9508 ARTZ RD,BEAVER FALLS,NY,13305,12/13/2024,,,BEAVER RIVER MIDDLE SCHOOL,,100.0,199.0,0.5025125628140703
2023-2025,BEAVER RIVER CENTRAL SCHOOL,BEAVER RIVER SHS,Lewis,Public School,231301040002,https://www.brcsd.org/,28.0,0.0,28.0,0.0,Yes,21,7,Yes,Yes,Ongoing,9508 ARTZ RD,BEAVER FALLS,NY,13305,12/13/2024,,,BEAVER RIVER,,188.0,416.0,0.4519230769230769
2023-2025,BEEKMANTOWN CENTRAL SCHOOL,BEEKMANTOWN ELEM SCHOOL,Clinton,Public School,90301060001,www.bcsdk12.org,51.0,0.0,0.0,51.0,Yes,51,0,Yes,,Complete,37 EAGLE WAY,WEST CHAZY,NY,12992,04/21/2025,,,BEEKMANTOWN  SCHOOL,,206.0,486.0,0.4238683127572016
2023-2025,BEEKMANTOWN CENTRAL SCHOOL,BEEKMANTOWN H S,Clinton,Public School,90301060006,www.bcsdk12.org,54.0,0.0,0.0,54.0,No,52,2,Yes,Yes,Ongoing,37 EAGLE WAY,WEST CHAZY,NY,12992,04/21/2025,,,BEEKMANTOWN S,,206.0,486.0,0.4238683127572016
2023-2025,BEEKMANTOWN CENTRAL SCHOOL,BEEKMANTOWN MS,Clinton,Public School,90301060005,www.bcsdk12.org,29.0,0.0,0.0,29.0,No,28,1,Yes,Yes,Ongoing,37 EAGLE WAY,WEST CHAZY,NY,12992,04/21/2025,,,BEEKMANTOWN,,206.0,486.0,0.4238683127572016
2023-2025,BEEKMANTOWN CENTRAL SCHOOL,CUMBERLAND HEAD ELEM SCHOOL,Clinton,Public School,90301060003,www.bcsdk12.org,69.0,0.0,0.0,69.0,No,63,6,Yes,Yes,Ongoing,37 EAGLE WAY,WEST CHAZY,NY,12992,05/05/2025,,,CUMBERLAND HEAD  SCHOOL,,255.0,540.0,0.4722222222222222
2023-2025,BELLEVILLE HENDERSON CENTRAL,BELLEVILLE HENDERSON CENTRAL SCHOOL,Jefferson,Public School,220909040010,https://www.bhpanthers.org/,56.0,0.0,56.0,0.0,No,33,23,Yes,Yes,Ongoing,8372 COUNTY RT 75,ADAMS,NY,13605,03/19/2024,,,BELLEVILLE HENDERSON CENTRAL SCHOOL,,269.0,503.0,0.5347912524850894
2023-2025,BERLIN CENTRAL SCHOOL,BERLIN CENTRAL MIDDLE/HIGH SCHOOL,Rensselaer,Public School,490101040006,https://berlincentral.org/district/water-testing-2/,30.0,0.0,0.0,26.0,No,25,1,Yes,Yes,Ongoing,SCHOOL ST,BERLIN,NY,12022,07/16/2025,,,BERLIN CENTRAL MIDDLE/HIGH SCHOOL,,158.0,276.0,0.572463768115942
2023-2025,BERLIN CENTRAL SCHOOL,BERLIN ELEMENTARY SCHOOL,Rensselaer,Public School,490101040001,https://berlincentral.org/district/water-testing-2/,21.0,0.0,0.0,19.0,No,15,4,Yes,Yes,Ongoing,53 School St,BERLIN,NY,12022,07/16/2025,,,BERLIN ELEMENTARY SCHOOL,,158.0,276.0,0.572463768115942
2023-2025,BETHLEHEM CENTRAL SCHOOL DISTRICT,BETHLEHEM CENTRAL MIDDLE SCHOOL,Albany,Public School,10306060007,bethlehemschools.org,30.0,0.0,30.0,0.0,Yes,30,0,Yes,Yes,Complete,332 KENWOOD AVE,DELMAR,NY,12054,05/23/2025,,,BETHLEHEM CENTRAL MIDDLE SCHOOL,,134.0,902.0,0.1485587583148558
2023-2025,BETHLEHEM CENTRAL SCHOOL DISTRICT,BETHLEHEM CENTRAL SCHOOL HIGH SCHOOL,Albany,Public School,10306060008,bethlehemschools.org,55.0,0.0,55.0,0.0,Yes,55,0,Yes,Yes,Complete,700 DELAWARE AVE,DELMAR,NY,12054,05/28/2025,,,BETHLEHEM CENTRAL SCHOOL HIGH SCHOOL,,207.0,1373.0,0.1507647487254187
2023-2025,BETHLEHEM CENTRAL SCHOOL DISTRICT,EAGLE ELEMENTARY SCHOOL,Albany,Public School,10306060009,bethlehemschools.org,34.0,0.0,34.0,0.0,Yes,34,0,Yes,,,27 VAN DYKE ROAD,DELMAR,NY,12054,05/14/2025,,,EAGLE ELEMENTARY SCHOOL,,60.0,429.0,0.1398601398601398
2023-2025,BETHLEHEM CENTRAL SCHOOL DISTRICT,ELSMERE ES,Albany,Public School,10306060003,bethlehemschools.org,21.0,0.0,21.0,0.0,Yes,21,0,Yes,Yes,Complete,247 DELAWARE AVE,DELMAR,NY,12054,05/23/2025,,,ELSMERE,,26.0,230.0,0.1130434782608695
2023-2025,BETHLEHEM CENTRAL SCHOOL DISTRICT,GLENMONT ES,Albany,Public School,10306060004,bethlehemschools.org,31.0,0.0,31.0,0.0,Yes,31,0,Yes,Yes,Complete,328 RT 9W,GLENMONT,NY,12077,05/23/2025,,,GLENMONT,,57.0,372.0,0.1532258064516129
2023-2025,BETHLEHEM CENTRAL SCHOOL DISTRICT,HAMAGRAEL ES,Albany,Public School,10306060005,bethlehemschools.org,30.0,0.0,30.0,0.0,Yes,30,0,Yes,Yes,Complete,1 MCGUFFEY LN,DELMAR,NY,12054,05/28/2025,,,HAMAGRAEL,,47.0,331.0,0.1419939577039275
2023-2025,BETHLEHEM CENTRAL SCHOOL DISTRICT,SLINGERLANDS ES,Albany,Public School,10306060006,bethlehemschools.org,34.0,0.0,34.0,0.0,Yes,34,0,Yes,Yes,Complete,25 UNION AVE,DELMAR,NY,12054,05/23/2025,,,SLINGERLANDS,,59.0,455.0,0.1296703296703296
2023-2025,BETHPAGE UNION FREE SCHOOL,BETHPAGE S H S,Nassau,Public School,280521030006,https://www.bethpagecommunity.com/,61.0,,,61.0,Yes,47,14,Yes,Yes,Ongoing,CHERRY AVE,BETHPAGE,NY,11714,07/10/2025,,,BETHPAGE S,,260.0,1013.0,0.2566633761105626
2023-2025,BETHPAGE UNION FREE SCHOOL,CENTRAL BLVD ELEM SCHOOL,Nassau,Public School,280521030002,https://www.bethpagecommunity.com/,37.0,,,37.0,Yes,26,11,Yes,Yes,Ongoing,60 CENTRAL BLVD,BETHPAGE,NY,11783,07/10/2025,,,CENTRAL BLVD  SCHOOL,,,,
2023-2025,BETHPAGE UNION FREE SCHOOL,CHARLES CAMPAGNE SCHOOL,Nassau,Public School,280521030003,https://www.bethpagecommunity.com/,20.0,,,20.0,Yes,18,2,Yes,Yes,Ongoing,PLAINVIEW RD,BETHPAGE,NY,11714,07/10/2025,,,CHARLES CAMPAGNE SCHOOL,,89.0,385.0,0.2311688311688311
2023-2025,BETHPAGE UNION FREE SCHOOL,JOHN F KENNEDY J H S,Nassau,Public School,280521030008,https://www.bethpagecommunity.com/,33.0,,,33.0,Yes,32,1,Yes,Yes,Ongoing,BROADWAY,BETHPAGE,NY,11714,07/10/2025,,,JOHN KENNEDY S,,152.0,1071.0,0.1419234360410831
2023-2025,BETHPAGE UNION FREE SCHOOL,KRAMER ELEMENTARY SCHOOL,Nassau,Public School,280521030004,https://www.bethpagecommunity.com/,15.0,,,15.0,Yes,12,3,Yes,Yes,Ongoing,1 KRAMER LN,PLAINVIEW,NY,11803,07/10/2025,,,KRAMER ELEMENTARY SCHOOL,,70.0,377.0,0.1856763925729443
2023-2025,BLIND BROOK-RYE UFSD,BLIND BROOK HIGH SCHOOL,Westchester,Public School,661905020002,https://resources.finalsite.net/images/v1718114689/blindbrookorg/s7gjl53nqrovrlwwzwm1/bb108323ih.pdf,53.0,53.0,0.0,0.0,Yes,36,17,Yes,Yes,Complete,KING ST,RYE BROOK,NY,10573,08/07/2025,,,BLIND BROOK HIGH SCHOOL,,,,
2023-2025,BLIND BROOK-RYE UFSD,BLIND BROOK-RYE MIDDLE SCHOOL,Westchester,Public School,661905020003,https://resources.finalsite.net/images/v1718114689/blindbrookorg/s7gjl53nqrovrlwwzwm1/bb108323ih.pdf,57.0,57.0,0.0,0.0,Yes,54,3,Yes,Yes,Complete,840 KING ST,RYE BROOK,NY,10573,08/07/2025,,,BLIND BROOK-RYE MIDDLE SCHOOL,,,,
2023-2025,BLIND BROOK-RYE UFSD,BRUNO M. PONTERIO/RIDGE STREET SCHOOL,Westchester,Public School,661905020001,https://resources.finalsite.net/images/v1718114689/blindbrookorg/s7gjl53nqrovrlwwzwm1/bb108323ih.pdf,129.0,129.0,0.0,0.0,Yes,123,6,Yes,Yes,Complete,N RIDGE ST,RYE BROOK,NY,10573,08/07/2025,,,BRUNO M PONTERIO/RIDGE STREET SCHOOL,,,,
2023-2025,BOLTON CENTRAL SCHOOL,BOLTON CENTRAL SCHOOL,Warren,Public School,630101040001,boltoncsd.org,24.0,0.0,24.0,0.0,Yes,24,0,Yes,,,BOLTON CENTRAL SCHOOL,BOLTON LANDING,NY,12814,10/23/2024,,,BOLTON CENTRAL SCHOOL,,56.0,180.0,0.3111111111111111
2023-2025,BOQUET VALLEY CSD,LAKE VIEW CAMPUS,Essex,Public School,151801040002,boquetvalleycsd.org,15.0,15.0,0.0,0.0,Yes,12,3,Yes,Yes,Complete,PO BOX 408,WESTPORT,NY,12993,01/22/2024,,,LAKE VIEW CAMPUS,,85.0,189.0,0.4497354497354497
2023-2025,BOQUET VALLEY CSD,MOUNTAIN VIEW CAMPUS,Essex,Public School,151801040001,boquetvalleycsd.org,18.0,18.0,0.0,0.0,Yes,18,0,Yes,,,PO BOX 158,ELIZABETHTOWN,NY,12932,01/22/2024,,,MOUNTAIN VIEW CAMPUS,,114.0,200.0,0.57
2023-2025,BRASHER FALLS CENT SCH DIST,ST LAWRENCE ELEM SCHOOL,St.Lawrence,Public School,510101040002,https://www.bfcsd.org/,46.0,0.0,46.0,0.0,Yes,43,3,Yes,Yes,Ongoing,1039 STATE HWY 11C,BRASHER FALLS,NY,13613,06/24/2024,,,ST LAWRENCE  SCHOOL,,199.0,363.0,0.5482093663911846
2023-2025,BRASHER FALLS CENT SCH DIST,ST LAWRENCE J S H S,St.Lawrence,Public School,510101040003,https://www.bfcsd.org/,15.0,0.0,15.0,0.0,Yes,14,1,Yes,Yes,Ongoing,1039 STATE HWY 11C,BRASHER FALLS,NY,13613,06/24/2024,,,ST LAWRENCE S,,199.0,363.0,0.5482093663911846
2023-2025,BRASHER FALLS CENT SCH DIST,ST LAWRENCE MIDDLE SCHOOL,St.Lawrence,Public School,510101040001,https://www.bfcsd.org/,21.0,0.0,21.0,0.0,Yes,16,5,Yes,Yes,Ongoing,1039 STATE HGWY 11C,BRASHER FALLS,NY,13613,06/24/2024,,,ST LAWRENCE MIDDLE SCHOOL,,179.0,309.0,0.5792880258899676
2023-2025,BRENTWOOD UNION FREE SCHOOL,EAST MIDDLE SCHOOL,Suffolk,Public School,580512030020,https://www.bufsd.org/,48.0,0.0,0.0,48.0,Yes,46,2,Yes,Yes,Ongoing,70 HILLTOP DR,BRENTWOOD,NY,11717,07/11/2025,,,EAST MIDDLE SCHOOL,,107.0,259.0,0.4131274131274131
2023-2025,BRENTWOOD UNION FREE SCHOOL,FRESHMAN CENTER,Suffolk,Public School,580512030026,https://www.bufsd.org/,25.0,0.0,0.0,25.0,,16,9,Yes,Yes,Ongoing,LEAHY AVE,BRENTWOOD,NY,11717,07/11/2025,,,FRESHMAN CENTER,,1004.0,1254.0,0.8006379585326954
2023-2025,BRENTWOOD UNION FREE SCHOOL,HEMLOCK ELEMENTARY SCHOOL,Suffolk,Public School,580512030003,https://www.bufsd.org/,52.0,0.0,0.0,52.0,Yes,45,7,Yes,Yes,Ongoing,HEMLOCK PK,BRENTWOOD,NY,11717,07/11/2025,,,HEMLOCK ELEMENTARY SCHOOL,,520.0,638.0,0.8150470219435737
2023-2025,BRENTWOOD UNION FREE SCHOOL,LAUREL PARK ELEMENTARY SCHOOL,Suffolk,Public School,580512030004,https://www.bufsd.org/,42.0,0.0,0.0,42.0,Yes,31,11,Yes,Yes,Ongoing,SWAN PL,BRENTWOOD,NY,11717,07/11/2025,,,LAUREL PARK ELEMENTARY SCHOOL,,556.0,622.0,0.8938906752411575
2023-2025,BRENTWOOD UNION FREE SCHOOL,LORETTA PARK ELEMENTARY SCHOOL,Suffolk,Public School,580512030005,https://www.bufsd.org/,43.0,0.0,0.0,43.0,Yes,29,14,Yes,Yes,Ongoing,STAHLEY ST,BRENTWOOD,NY,11717,07/11/2025,,,LORETTA PARK ELEMENTARY SCHOOL,,586.0,641.0,0.9141965678627144
2023-2025,BRENTWOOD UNION FREE SCHOOL,NORTH ELEMENTARY SCHOOL,Suffolk,Public School,580512030006,https://www.bufsd.org,62.0,0.0,0.0,62.0,Yes,58,4,Yes,Yes,Ongoing,WHITE ST,BRENTWOOD,NY,11717,07/11/2025,,,NORTH ELEMENTARY SCHOOL,,727.0,855.0,0.8502923976608188
2023-2025,BRENTWOOD UNION FREE SCHOOL,NORTH MIDDLE SCHOOL,Suffolk,Public School,580512030016,https://www.bufsd.org/,46.0,0.0,0.0,46.0,Yes,44,2,Yes,Yes,Ongoing,WICKS RD,BRENTWOOD,NY,11717,07/11/2025,,,NORTH MIDDLE SCHOOL,,891.0,1098.0,0.8114754098360656
2023-2025,BRENTWOOD UNION FREE SCHOOL,NORTHEAST ELEMENTARY SCHOOL,Suffolk,Public School,580512030007,https://www.bufsd.org/,61.0,0.0,0.0,61.0,Yes,59,2,Yes,Yes,Ongoing,ARLINGTON RD,BRENTWOOD,NY,11717,07/11/2025,,,NORTHEAST ELEMENTARY SCHOOL,,808.0,935.0,0.8641711229946524
2023-2025,BRENTWOOD UNION FREE SCHOOL,OAK PARK ELEMENTARY SCHOOL,Suffolk,Public School,580512030009,https://www.bufsd.org,58.0,0.0,0.0,58.0,Yes,54,4,Yes,Yes,Ongoing,WISCONSIN AVE,BRENTWOOD,NY,11717,07/11/2025,,,OAK PARK ELEMENTARY SCHOOL,,620.0,716.0,0.8659217877094972
2023-2025,BRENTWOOD UNION FREE SCHOOL,PINE PARK ELEMENTARY SCHOOL,Suffolk,Public School,580512030010,https://www.bufsd.org,45.0,0.0,0.0,45.0,Yes,37,8,Yes,Yes,Ongoing,VOORHIS DR,BRENTWOOD,NY,11717,07/11/2025,,,PINE PARK ELEMENTARY SCHOOL,,457.0,563.0,0.8117229129662522
2023-2025,BRENTWOOD UNION FREE SCHOOL,ROSS AND SONDERLING HIGH SCHOOL,Suffolk,Public School,580512030018,https://www.bufsd.org,106.0,0.0,0.0,106.0,Yes,98,8,Yes,Yes,Ongoing,6TH AVE,BRENTWOOD,NY,11717,07/11/2025,,,ROSS AND SONDERLING HIGH SCHOOL,,3684.0,4803.0,0.7670206121174266
2023-2025,BRENTWOOD UNION FREE SCHOOL,SOUTH MIDDLE SCHOOL,Suffolk,Public School,580512030021,https://www.bufsd.org/,40.0,0.0,0.0,40.0,Yes,37,3,Yes,Yes,Ongoing,CANDLEWOOD RD,BRENTWOOD,NY,11717,07/11/2025,,,SOUTH MIDDLE SCHOOL,,816.0,995.0,0.8201005025125628
2023-2025,BRENTWOOD UNION FREE SCHOOL,SOUTHEAST ELEMENTARY SCHOOL,Suffolk,Public School,580512030012,https://www.bufsd.org/,33.0,0.0,0.0,33.0,Yes,27,6,Yes,Yes,Ongoing,1MELODY LN,BRENTWOOD,NY,11717,07/11/2025,,,SOUTHEAST ELEMENTARY SCHOOL,,473.0,544.0,0.8694852941176471
2023-2025,BRENTWOOD UNION FREE SCHOOL,SOUTHWEST ELEMENTARY SCHOOL,Suffolk,Public School,580512030001,https://www.bufsd.org/,75.0,0.0,0.0,75.0,Yes,68,7,Yes,Yes,Ongoing,1095 JOSELSON AVE,BAY SHORE,NY,11706,07/11/2025,,,SOUTHWEST ELEMENTARY SCHOOL,,744.0,955.0,0.7790575916230367
2023-2025,BRENTWOOD UNION FREE SCHOOL,TWIN PINES ELEMENTARY SCHOOL,Suffolk,Public School,580512030013,https://www.bufsd.org/,56.0,0.0,0.0,56.0,Yes,50,6,Yes,Yes,Ongoing,2 MUR PLACE,BRENTWOOD,NY,11717,07/11/2025,,,TWIN PINES ELEMENTARY SCHOOL,,683.0,786.0,0.8689567430025446
2023-2025,BRENTWOOD UNION FREE SCHOOL,WEST MIDDLE SCHOOL,Suffolk,Public School,580512030015,https://www.bufsd.org/,41.0,0.0,0.0,41.0,Yes,28,13,Yes,Yes,Ongoing,UDALL RD,BRENTWOOD,NY,11717,07/11/2025,,,WEST MIDDLE SCHOOL,,408.0,600.0,0.68
2023-2025,BREWSTER CENTRAL SCHOOL,BREWSTER HIGH SCHOOL,Putnam,Public School,480601060003,https://www.brewsterschools.org,46.0,0.0,0.0,46.0,Yes,46,0,Yes,Yes,Complete,50 FOGGINTOWN RD,BREWSTER,NY,10509,03/27/2025,,,BREWSTER HIGH SCHOOL,,454.0,1080.0,0.4203703703703704
2023-2025,BREWSTER CENTRAL SCHOOL,CV STARR,Putnam,Public School,480601060002,https://www.brewsterschools.org,16.0,0.0,0.0,16.0,Yes,16,0,Yes,,,20 FARM TO MARKET RD,BREWSTER,NY,10509,03/21/2025,,,CV STARR,,,,
2023-2025,BREWSTER CENTRAL SCHOOL,HENRY H WELLS MIDDLE SCHOOL,Putnam,Public School,480601060005,https://www.brewsterschools.org,47.0,0.0,0.0,47.0,No,41,6,Yes,Yes,Ongoing,570 RT 312,BREWSTER,NY,10509,03/21/2025,,,HENRY WELLS MIDDLE SCHOOL,,290.0,650.0,0.4461538461538462
2023-2025,BREWSTER CENTRAL SCHOOL,JOHN F KENNEDY ELEM SCHOOL,Putnam,Public School,480601060004,https://www.brewsterschools.org,84.0,0.0,0.0,84.0,No,80,4,Yes,Yes,Ongoing,FOGGINTOWN RD,BREWSTER,NY,10509,03/27/2025,,,JOHN KENNEDY  SCHOOL,,243.0,591.0,0.4111675126903553
2023-2025,BRIARCLIFF MANOR U F S,BRIARCLIFF HS,Westchester,Public School,661402020002,www.briarcliffschools.org,76.0,76.0,,,Yes,57,19,Yes,Yes,Ongoing,444 PLEASANTVILLE RD,BRIARCLIFF MANOR,NY,10510,01/06/2025,,,BRIARCLIFF,,,,
2023-2025,BRIARCLIFF MANOR U F S,BRIARCLIFF MS,Westchester,Public School,661402020004,www.briarcliffschools.org,32.0,32.0,0.0,0.0,Yes,30,2,Yes,Yes,Ongoing,444 PLEASANTVILLE RD,BRIARCLIFF MANOR,NY,10510,01/06/2025,,,BRIARCLIFF,,,,
2023-2025,BRIARCLIFF MANOR U F S,TODD ELEM SCHOOL,Westchester,Public School,661402020001,www.briarcliffschools.org,116.0,116.0,0.0,0.0,Yes,84,32,Yes,Yes,Ongoing,INGHAM RD,BRIARCLIFF MANOR,NY,10510,01/06/2025,,,TODD  SCHOOL,,,,
2023-2025,BRIDGEHAMPTON U F S,BRIDGEHAMPTON ELEM AND H S,Suffolk,Public School,580909020001,https://www.bridgehampton.k12.ny.us/9752_1,28.0,0.0,1.0,27.0,No,27,1,Yes,Yes,Ongoing,MONTAUK HIGHWAY,BRIDGEHAMPTON,NY,11932,04/30/2025,,,BRIDGEHAMPTON  AND S,,92.0,197.0,0.467005076142132
2023-2025,BRIGHTON CENTRAL SCHOOL,BRIGHTON S H S,Monroe,Public School,260101060004,https://bcsd.org/35472_4,2823.0,0.0,0.0,26.0,No,23,3,Yes,Yes,Ongoing,1150 WINTON RD SO,ROCHESTER,NY,14618,04/11/2025,,,BRIGHTON S,,273.0,1182.0,0.2309644670050761
2023-2025,BRIGHTON CENTRAL SCHOOL,FRENCH ROAD ELEMENTARY SCHOOL,Monroe,Public School,260101060010,https://bcsd.org/35472_4,14.0,0.0,0.0,14.0,Yes,13,1,Yes,Yes,Ongoing,488 FRENCH ROAD,ROCHESTER,NY,14618,04/11/2025,,,FRENCH ROAD ELEMENTARY SCHOOL,,141.0,713.0,0.1977559607293127
2023-2025,BRIGHTON CENTRAL SCHOOL,TWELVE CORNERS MID-SCHOOL,Monroe,Public School,260101060008,https://bcsd.org/35472_4,25.0,0.0,0.0,25.0,Yes,23,2,Yes,Yes,Ongoing,2643 ELMWOOD AVENUE,ROCHESTER,NY,14618,04/11/2025,,,TWELVE CORNERS MID-SCHOOL,,183.0,791.0,0.2313527180783817
2023-2025,BROCTON CENTRAL SCHOOL DISTRICT,BROCTON CENTRAL SCHOOL,Chautauqua,Public School,62301040002,https://www.broctoncsd.org,116.0,0.0,43.0,72.0,No,113,2,No,Yes,Ongoing,138 W MAIN ST,BROCTON,NY,14716,03/11/2025,,,BROCTON CENTRAL SCHOOL,,145.0,225.0,0.6444444444444445
2023-2025,BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,COMSEWOGUE S H S,Suffolk,Public School,580203020008,https://www.comsewogue.k12.ny.us/,34.0,0.0,34.0,0.0,Yes,30,4,Yes,Yes,Ongoing,565 BICYCLE PATH,PT JEFFERSON STA,NY,11776,02/27/2025,,,COMSEWOGUE S,,307.0,1142.0,0.2688266199649737
2023-2025,BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,NORWOOD AVENUE SCHOOL,Suffolk,Public School,580203020002,https://www.comsewogue.k12.ny.us/,12.0,0.0,12.0,0.0,Yes,12,0,Yes,,,290 NORWOOD AVE,PT JEFFERSON STA,NY,11776,02/27/2025,,,NORWOOD AVENUE SCHOOL,,102.0,305.0,0.3344262295081967
2023-2025,BRUSHTON-MOIRA CENTRAL SCHOOL,BRUSHTON-MOIRA CENTRAL SCHOOL,Franklin,Public School,161601040003,https://www.bmcsd.org/,116.0,0.0,116.0,0.0,No,107,9,Yes,Yes,Ongoing,758 COUNTY RT 7,BRUSHTON,NY,12916,05/23/2025,,,BRUSHTON-MOIRA CENTRAL SCHOOL,,189.0,325.0,0.5815384615384616
2023-2025,BUFFALO CITY SCHOOLS,PS  3 D'YOUVILLE PORTER CAMPUS,Erie,Public School,140600010003,www.buffaloschools.org,53.0,,53.0,0.0,Yes,49,4,Yes,Yes,Ongoing,255 PORTER AVE,BUFFALO,NY,14201,01/10/2025,,,D'YOUVILLE PORTER CAMPUS,3.0,484.0,519.0,0.9325626204238922
2023-2025,BUFFALO CITY SCHOOLS,PS 156 FREDERICK LAW OLMSTEAD SCHOOL (@203),Erie,Public School,140600010056,www.buffaloschools.org,105.0,0.0,95.0,,No,93,2,Yes,Yes,Ongoing,319 SUFFOLK AVE,BUFFALO,NY,14202,02/21/2025,,,FREDERICK LAW OLMSTEAD SCHOOL,156.0,213.0,572.0,0.3723776223776224
2023-2025,BUFFALO CITY SCHOOLS,PS 17 EARLY CHILDHOOD CENTER,Erie,Public School,140600010017,www.buffaloschools.org,79.0,0.0,76.0,,No,69,7,No,Yes,Ongoing,1045 W DELAVAN,BUFFALO,NY,14209,02/21/2025,,,EARLY CHILDHOOD CENTER,17.0,505.0,553.0,0.9132007233273056
2023-2025,BUFFALO CITY SCHOOLS,PS 18 ANTONIA PANTOJA SCHOOL OF ACADEMIC EXCELLENCE,Erie,Public School,140600010018,www.buffaloschools.org,76.0,0.0,70.0,,No,65,5,Yes,Yes,Ongoing,118 HAMPSHIRE ST,BUFFALO,NY,14213,02/21/2025,,,ANTONIA PANTOJA SCHOOL OF ACADEMIC EXCELLENCE,18.0,,,
2023-2025,BUFFALO CITY SCHOOLS,PS 19 NATIVE AMERICAN MAGNET SCHOOL,Erie,Public School,140600010019,www.buffaloschools.org,26.0,0.0,20.0,,No,19,1,Yes,Yes,Ongoing,97 W. DELAVAN AVE,BUFFALO,NY,14213,03/11/2025,,,NATIVE AMERICAN MAGNET SCHOOL,19.0,330.0,357.0,0.9243697478991596
2023-2025,BUFFALO CITY SCHOOLS,PS 192 BUFFALO ACADEMY FOR ARTS,Erie,Public School,140600010097,www.buffaloschools.org,132.0,0.0,117.0,,No,111,6,Yes,Yes,Ongoing,450 MASTEN AVE,BUFFALO,NY,14204,02/21/2025,,,BUFFALO ACADEMY FOR ARTS,192.0,388.0,575.0,0.6747826086956522
2023-2025,BUFFALO CITY SCHOOLS,PS 195 CITY HONORS AT FMP,Erie,Public School,140600010102,www.buffaloschools.org,79.0,0.0,73.0,,No,69,4,Yes,Yes,Ongoing,186 E NORTH ST,BUFFALO,NY,14204,02/21/2025,,,CITY HONORS AT FMP,195.0,478.0,1056.0,0.4526515151515151
2023-2025,BUFFALO CITY SCHOOLS,PS 197 MATH SCIENCE TECHNOLOGY PREP SCHOOL,Erie,Public School,140600010132,www.buffaloschools.org,82.0,0.0,75.0,,No,63,12,Yes,Yes,Ongoing,666 E DELEVAN ST,BUFFALO,NY,14215,02/21/2025,,,MATH SCIENCE TECHNOLOGY PREP SCHOOL,197.0,366.0,389.0,0.9408740359897172
2023-2025,BUFFALO CITY SCHOOLS,PS 198 INTERNATIONAL PREPARATORY SCHOOL,Erie,Public School,140600010308,www.buffaloschools.org,99.0,0.0,99.0,0.0,Yes,94,5,Yes,Yes,Ongoing,110 14TH ST,BUFFALO,NY,14213,01/10/2025,,,INTERNATIONAL PREPARATORY SCHOOL,198.0,590.0,614.0,0.9609120521172638
